order_id,order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
ORD-00001,2022-08-17,2022,3,8,August,Asia Pacific,China,Furniture,Desks,Consumer,38,597.08,22689.04,10990.22,11698.82,51.56
ORD-00002,2022-03-03,2022,1,3,March,Europe,Italy,Electronics,Audio,Small Business,15,338.31,5074.65,3246.97,1827.68,36.02
ORD-00003,2022-01-14,2022,1,1,January,Europe,Spain,Office Supplies,Pens,Home Office,7,19.77,138.39,51.0,87.39,63.15
ORD-00004,2022-07-18,2022,3,7,July,Asia Pacific,South Korea,Office Supplies,Paper,Consumer,25,74.32,1858.0,679.58,1178.42,63.42
ORD-00005,2024-01-11,2024,1,1,January,Europe,UK,Electronics,Laptops,Consumer,15,1170.95,17564.25,12704.16,4860.09,27.67
ORD-00006,2024-02-18,2024,1,2,February,Asia Pacific,China,Office Supplies,Pens,Home Office,45,24.9,1120.5,602.08,518.42,46.27
ORD-00007,2022-05-27,2022,2,5,May,Europe,Italy,Furniture,Desks,Home Office,41,385.94,15823.54,8507.25,7316.29,46.24
ORD-00008,2022-04-25,2022,2,4,April,Europe,UK,Office Supplies,Organizers,Corporate,37,30.44,1126.28,591.61,534.67,47.47
ORD-00009,2023-10-07,2023,4,10,October,Latin America,Chile,Clothing,Women's Wear,Corporate,48,90.49,4343.52,2346.99,1996.53,45.97
ORD-00010,2024-05-27,2024,2,5,May,Latin America,Colombia,Furniture,Desks,Consumer,49,422.34,20694.66,8472.88,12221.78,59.06
ORD-00011,2022-08-13,2022,3,8,August,Europe,Spain,Electronics,Accessories,Small Business,34,603.35,20513.9,12314.14,8199.76,39.97
ORD-00012,2022-08-23,2022,3,8,August,Asia Pacific,Australia,Electronics,Tablets,Small Business,1,680.41,680.41,504.02,176.39,25.92
ORD-00013,2023-01-01,2023,1,1,January,North America,Mexico,Office Supplies,Labels,Corporate,24,62.85,1508.4,757.97,750.43,49.75
ORD-00014,2023-10-26,2023,4,10,October,Latin America,Brazil,Electronics,Tablets,Home Office,16,1324.15,21186.4,11897.97,9288.43,43.84
ORD-00015,2022-06-11,2022,2,6,June,Latin America,Brazil,Furniture,Desks,Corporate,17,538.01,9146.17,4623.71,4522.46,49.45
ORD-00016,2023-02-16,2023,1,2,February,Asia Pacific,India,Office Supplies,Organizers,Small Business,8,90.46,723.68,289.17,434.51,60.04
ORD-00017,2022-05-12,2022,2,5,May,Europe,Italy,Furniture,Chairs,Consumer,15,84.66,1269.9,525.08,744.82,58.65
ORD-00018,2022-05-26,2022,2,5,May,Europe,France,Clothing,Women's Wear,Small Business,16,168.68,2698.88,1608.95,1089.93,40.38
ORD-00019,2024-04-13,2024,2,4,April,North America,Mexico,Clothing,Accessories,Small Business,47,135.72,6378.84,2637.92,3740.92,58.65
ORD-00020,2022-07-21,2022,3,7,July,Asia Pacific,Japan,Furniture,Desks,Small Business,9,176.46,1588.14,769.26,818.88,51.56
ORD-00021,2023-07-25,2023,3,7,July,North America,Canada,Electronics,Phones,Consumer,6,995.61,5973.66,4392.27,1581.39,26.47
ORD-00022,2023-04-30,2023,2,4,April,Latin America,Chile,Furniture,Tables,Corporate,25,724.88,18122.0,7256.61,10865.39,59.96
ORD-00023,2024-03-10,2024,1,3,March,Latin America,Colombia,Clothing,Sportswear,Small Business,10,203.63,2036.3,911.19,1125.11,55.25
ORD-00024,2022-05-05,2022,2,5,May,Asia Pacific,Japan,Electronics,Audio,Corporate,4,741.34,2965.36,2200.76,764.6,25.78
ORD-00025,2022-05-21,2022,2,5,May,North America,Mexico,Furniture,Tables,Corporate,38,122.31,4647.78,2411.75,2236.03,48.11
ORD-00026,2022-06-17,2022,2,6,June,Asia Pacific,Australia,Furniture,Shelving,Small Business,9,213.79,1924.11,1028.13,895.98,46.57
ORD-00027,2023-09-07,2023,3,9,September,North America,USA,Clothing,Sportswear,Consumer,5,299.56,1497.8,800.44,697.36,46.56
ORD-00028,2024-11-02,2024,4,11,November,Asia Pacific,Japan,Furniture,Shelving,Small Business,35,249.44,8730.4,4720.6,4009.8,45.93
ORD-00029,2024-12-19,2024,4,12,December,Asia Pacific,Japan,Furniture,Shelving,Consumer,48,118.88,5706.24,2913.86,2792.38,48.94
ORD-00030,2023-07-12,2023,3,7,July,Europe,France,Furniture,Shelving,Home Office,4,419.16,1676.64,701.61,975.03,58.15
ORD-00031,2022-04-01,2022,2,4,April,North America,Canada,Furniture,Shelving,Small Business,36,154.42,5559.12,3008.23,2550.89,45.89
ORD-00032,2022-01-20,2022,1,1,January,Europe,Italy,Electronics,Tablets,Corporate,28,894.64,25049.92,14415.96,10633.96,42.45
ORD-00033,2023-09-24,2023,3,9,September,North America,Canada,Furniture,Desks,Home Office,50,543.54,27177.0,13913.99,13263.01,48.8
ORD-00034,2022-11-13,2022,4,11,November,Europe,Germany,Furniture,Tables,Home Office,27,49.09,1325.43,742.83,582.6,43.96
ORD-00035,2023-05-24,2023,2,5,May,North America,Canada,Electronics,Accessories,Small Business,23,372.53,8568.19,5235.49,3332.7,38.9
ORD-00036,2023-04-12,2023,2,4,April,Europe,Spain,Office Supplies,Pens,Home Office,23,87.11,2003.53,958.28,1045.25,52.17
ORD-00037,2023-11-10,2023,4,11,November,North America,USA,Office Supplies,Binders,Home Office,3,60.16,180.48,67.08,113.4,62.83
ORD-00038,2024-06-08,2024,2,6,June,Asia Pacific,India,Electronics,Accessories,Corporate,17,1354.28,23022.76,12866.9,10155.86,44.11
ORD-00039,2024-06-12,2024,2,6,June,Europe,France,Clothing,Men's Wear,Home Office,40,285.43,11417.2,5462.89,5954.31,52.15
ORD-00040,2022-09-13,2022,3,9,September,Asia Pacific,South Korea,Office Supplies,Organizers,Home Office,36,35.99,1295.64,486.46,809.18,62.45
ORD-00041,2024-02-16,2024,1,2,February,Europe,Italy,Office Supplies,Organizers,Consumer,20,57.05,1141.0,464.82,676.18,59.26
ORD-00042,2023-10-22,2023,4,10,October,Latin America,Chile,Clothing,Women's Wear,Corporate,43,160.68,6909.24,2910.16,3999.08,57.88
ORD-00043,2024-11-21,2024,4,11,November,Asia Pacific,Japan,Furniture,Shelving,Corporate,10,202.97,2029.7,821.8,1207.9,59.51
ORD-00044,2022-05-30,2022,2,5,May,Latin America,Chile,Furniture,Tables,Corporate,10,410.67,4106.7,2181.53,1925.17,46.88
ORD-00045,2022-08-07,2022,3,8,August,Latin America,Argentina,Furniture,Storage,Corporate,8,387.7,3101.6,1523.79,1577.81,50.87
ORD-00046,2023-10-12,2023,4,10,October,Latin America,Chile,Clothing,Women's Wear,Small Business,29,226.94,6581.26,3058.96,3522.3,53.52
ORD-00047,2023-07-22,2023,3,7,July,Latin America,Argentina,Office Supplies,Organizers,Home Office,16,12.36,197.76,79.96,117.8,59.57
ORD-00048,2022-06-15,2022,2,6,June,Europe,Germany,Furniture,Tables,Corporate,5,564.34,2821.7,1362.81,1458.89,51.7
ORD-00049,2023-11-09,2023,4,11,November,Latin America,Brazil,Furniture,Tables,Consumer,49,329.9,16165.1,8327.26,7837.84,48.49
ORD-00050,2024-09-03,2024,3,9,September,Asia Pacific,Australia,Clothing,Footwear,Corporate,32,168.39,5388.48,2450.98,2937.5,54.51
ORD-00051,2024-06-11,2024,2,6,June,Latin America,Colombia,Clothing,Women's Wear,Corporate,40,254.54,10181.6,5432.2,4749.4,46.65
ORD-00052,2024-03-17,2024,1,3,March,North America,USA,Clothing,Women's Wear,Corporate,4,262.05,1048.2,487.45,560.75,53.5
ORD-00053,2023-11-02,2023,4,11,November,Asia Pacific,Australia,Clothing,Accessories,Small Business,17,229.32,3898.44,2373.09,1525.35,39.13
ORD-00054,2024-08-21,2024,3,8,August,North America,Canada,Furniture,Chairs,Consumer,49,631.55,30945.95,12570.43,18375.52,59.38
ORD-00055,2023-05-22,2023,2,5,May,North America,Mexico,Furniture,Desks,Consumer,37,127.19,4706.03,2774.45,1931.58,41.04
ORD-00056,2024-01-26,2024,1,1,January,Europe,Italy,Electronics,Laptops,Consumer,38,1448.85,55056.3,30563.72,24492.58,44.49
ORD-00057,2023-10-01,2023,4,10,October,Latin America,Chile,Furniture,Chairs,Corporate,7,485.92,3401.44,1834.87,1566.57,46.06
ORD-00058,2022-09-05,2022,3,9,September,North America,Canada,Clothing,Accessories,Home Office,1,34.65,34.65,21.22,13.43,38.76
ORD-00059,2024-09-30,2024,3,9,September,Asia Pacific,India,Furniture,Tables,Home Office,40,165.63,6625.2,3720.98,2904.22,43.84
ORD-00060,2024-09-17,2024,3,9,September,Asia Pacific,Australia,Furniture,Chairs,Small Business,16,244.77,3916.32,2154.35,1761.97,44.99
ORD-00061,2024-02-16,2024,1,2,February,Latin America,Colombia,Furniture,Tables,Home Office,22,193.33,4253.26,1939.2,2314.06,54.41
ORD-00062,2023-07-20,2023,3,7,July,Europe,UK,Furniture,Tables,Corporate,45,406.2,18279.0,9052.1,9226.9,50.48
ORD-00063,2024-10-02,2024,4,10,October,North America,USA,Office Supplies,Binders,Corporate,20,43.42,868.4,419.26,449.14,51.72
ORD-00064,2024-01-26,2024,1,1,January,Asia Pacific,India,Office Supplies,Pens,Home Office,20,71.77,1435.4,574.56,860.84,59.97
